number,value,datetime_start,datetime_complete,duration,params_base_model,params_heads,params_hidden_dim,params_learning_rate,user_attrs_base_model,user_attrs_heads,user_attrs_hidden_dim,user_attrs_lr,state
0,0.9564544353210391,2026-03-24 21:43:42.259707,2026-03-24 21:47:31.616744,0 days 00:03:49.357037,resnet18,8,512,0.007449523093398314,resnet18,8,512,0.007449523093398314,COMPLETE
1,0.9572447700761593,2026-03-24 21:47:31.616744,2026-03-24 21:55:11.985313,0 days 00:07:40.368569,convnext_small,2,256,0.003757375617613061,convnext_small,2,256,0.003757375617613061,COMPLETE
2,0.9570153329132536,2026-03-24 21:55:11.985313,2026-03-24 21:58:21.444482,0 days 00:03:09.459169,resnet18,2,64,0.001186086437497155,resnet18,2,64,0.001186086437497155,COMPLETE
3,0.9146739130434783,2026-03-24 21:58:21.444482,2026-03-24 22:02:30.126922,0 days 00:04:08.682440,resnet50,8,512,0.0003345016192568049,resnet50,8,512,0.0003345016192568049,COMPLETE
4,0.9168189014736329,2026-03-24 22:02:30.127928,2026-03-24 22:06:41.060991,0 days 00:04:10.933063,resnet50,8,1024,0.004833849138132818,resnet50,8,1024,0.004833849138132818,COMPLETE
5,0.8711885622640771,2026-03-24 22:06:41.061996,2026-03-24 22:16:07.037441,0 days 00:09:25.975445,convnext_base,2,128,0.0016966556575071297,convnext_base,2,128,0.0016966556575071297,COMPLETE
6,0.97820638552904,2026-03-24 22:16:07.037441,2026-03-24 22:24:20.830415,0 days 00:08:13.792974,convnext_base,16,64,0.007133483490519629,convnext_base,16,64,0.007133483490519629,COMPLETE
7,0.9376542806291089,2026-03-24 22:24:20.830415,2026-03-24 22:29:01.972224,0 days 00:04:41.141809,resnet34,16,64,0.006961360445768991,resnet34,16,64,0.006961360445768991,COMPLETE
8,0.9585376484689986,2026-03-24 22:29:01.972224,2026-03-24 22:41:51.807054,0 days 00:12:49.834830,convnext_small,2,128,0.009639064451561132,convnext_small,2,128,0.009639064451561132,COMPLETE
9,0.9149068322981367,2026-03-24 22:41:51.807558,2026-03-24 22:49:24.871981,0 days 00:07:33.064423,convnext_small,2,256,0.0013559835137283399,convnext_small,2,256,0.0013559835137283399,COMPLETE
10,0.8919843597262952,2026-03-24 22:49:24.871981,2026-03-24 22:55:55.954743,0 days 00:06:31.082762,convnext_base,16,64,0.009989157042424746,convnext_base,16,64,0.009989157042424746,COMPLETE
11,0.9349206349206349,2026-03-24 22:55:55.954743,2026-03-24 23:00:38.205086,0 days 00:04:42.250343,convnext_tiny,4,128,0.009186576860272862,convnext_tiny,4,128,0.009186576860272862,COMPLETE
12,0.956662749706228,2026-03-24 23:00:38.205993,2026-03-24 23:08:49.721359,0 days 00:08:11.515366,convnext_base,16,128,0.007753828470241558,convnext_base,16,128,0.007753828470241558,COMPLETE
